Age,Salary,Experience,Purchased
60,47184,0,0
37,82196,7,1
28,44868,17,0
25,128604,1,0
21,42561,6,0
34,24956,17,0
32,127974,7,1
48,90926,0,1
30,128785,10,1
37,58758,6,0
41,44793,2,0
44,43353,11,0
42,87342,1,1
49,50722,12,1
25,94854,20,1
59,112800,18,1
32,36233,1,0
34,93861,2,1
34,44476,12,0
37,136858,20,1
43,60638,11,1
42,72921,8,1
24,62862,17,1
35,60834,14,1
44,88765,20,1
55,75570,10,1
23,78043,1,0
40,123162,8,1
24,73307,18,1
40,73738,20,1
51,121712,20,1
49,55452,8,1
28,82651,17,1
54,86876,18,1
47,122700,11,1
34,54262,16,1
51,41831,1,0
27,58066,20,1
30,128666,19,1
24,118864,12,1
58,140696,16,1
36,21009,3,0
54,87946,20,1
41,47242,9,1
47,59460,14,1
20,87045,16,1
31,45894,20,1
39,70143,4,1
43,60349,17,1
53,18149,19,0
40,146085,0,1
27,113153,9,1
35,33184,7,0
56,38645,2,0
51,36143,17,0
28,51657,15,1
55,61287,8,1
53,128923,6,1
54,70730,9,1
45,115889,14,1
53,136354,3,1
35,76903,2,1
41,23514,18,0
55,78323,18,1
34,19885,2,0
60,33433,7,0
24,26234,10,0
24,80391,8,1
51,74160,17,1
28,141907,7,1
50,124708,6,1
26,43409,13,0
42,129038,13,1
49,32200,20,0
26,33889,12,0
41,46644,7,0
32,67862,17,1
48,54747,13,1
31,91018,14,1
35,37761,14,0
55,43666,1,0
54,21868,2,0
35,61597,13,1
51,144185,6,1
45,33370,5,0
44,18565,12,0
36,137277,9,1
47,145577,4,1
32,95780,6,1
23,33979,10,0
23,31144,18,0
50,149819,16,1
30,32910,16,0
25,66712,2,0
58,35815,7,0
45,49427,18,1
35,28418,19,0
25,127897,18,1
56,100934,8,1
33,100361,7,1
36,121752,4,1
39,137858,10,1
24,20441,14,0
59,44209,2,0
54,73877,16,1
36,52722,11,1
24,82037,11,1
38,59352,14,1
54,97303,19,1
53,20050,17,0
39,45154,4,0
36,48258,3,0
55,58749,8,1
38,73215,10,1
33,87201,16,1
51,83829,1,1
25,129037,8,1
22,18929,10,0
28,86670,5,1
48,130115,17,1
20,47327,2,0
29,27444,11,0
57,56821,13,1
28,28965,9,0
43,28458,11,0
33,83412,3,1
42,124529,19,1
29,80059,5,1
31,126080,0,1
31,105080,13,1
35,87941,5,1
26,118281,1,0
50,76309,6,1
49,109660,9,1
34,76438,0,1
32,122455,10,1
37,36198,8,0
42,122773,17,1
41,25235,3,0
36,64810,18,1
36,28028,3,0
58,131918,11,1
40,132398,19,1
52,48315,12,1
56,67828,8,1
22,132309,0,0
53,69651,11,1
47,36343,10,0
59,100291,3,1
39,99077,13,1
40,123486,9,1
55,51367,6,0
46,117390,5,1
59,96892,12,1
55,18106,9,0
38,73098,13,1
57,102475,14,1
48,133909,6,1
52,142042,5,1
25,92392,16,1
60,105867,2,1
35,99374,7,1
32,56627,0,0
22,82184,15,1
59,37091,14,0
46,68970,12,1
51,122766,7,1
29,19453,3,0
47,75367,5,1
53,139778,1,1
55,83325,3,1
49,52954,14,1
53,101177,14,1
59,129867,17,1
48,59722,15,1
48,85945,7,1
60,90695,16,1
51,80716,8,1
48,38311,9,0
35,89228,10,1
40,39122,4,0
29,78623,12,1
29,74086,2,1
46,124849,10,1
54,140139,13,1
23,72220,13,1
44,23120,18,0
44,143037,0,1
42,96279,12,1
46,75812,15,1
34,89548,13,1
51,25608,12,0
41,123989,5,1
49,51456,19,1
54,25069,12,0
57,25104,2,0
47,53572,14,1
31,31181,8,0
44,103813,6,1
49,103680,10,1
44,90943,13,1
36,39471,15,0
21,31653,11,0
34,35987,20,0
22,26134,7,0
32,23342,19,0
29,80533,4,1
50,47986,18,1
33,139905,8,1
43,61984,19,1
58,48024,5,0
39,46337,18,1
21,99777,18,1
44,121980,6,1
24,81661,3,0
39,49733,18,1
22,109017,17,1
47,115142,2,1
52,107451,0,1
46,146503,3,1
47,112945,20,1
49,58105,13,1
31,88800,19,1
54,144745,14,1
47,88358,10,1
35,40718,8,0
48,81927,14,1
56,117349,10,1
21,147579,10,1
31,145808,6,1
42,85725,10,1
37,90422,17,1
20,68084,2,0
35,124542,15,1
55,80999,15,1
51,135486,0,1
25,95132,7,0
45,81780,9,1
57,114736,15,1
55,108113,13,1
55,104714,11,1
49,89019,9,1
36,78434,3,1
32,100719,3,1
54,66535,6,1
33,144929,8,1
57,92186,3,1
32,95659,7,1
43,65039,9,1
20,51182,8,1
22,32293,17,0
38,51103,20,1
51,44892,0,0
56,92537,15,1
50,133466,10,1
31,31468,8,0
50,47907,2,0
45,146908,2,1
56,32053,4,0
29,97648,2,1
35,49051,17,1
46,77162,16,1
44,136099,14,1
39,130415,9,1
56,33789,19,0
26,72470,20,1
33,87375,2,1
30,80879,5,1
55,37677,5,0
20,125090,14,1
58,141184,9,1
22,78680,9,1
38,137021,2,1
34,87351,20,1
57,69857,13,1
27,76932,20,1
29,87633,4,1
24,33633,5,0
39,93657,14,1
27,140866,9,1
45,89367,16,1
54,147445,14,1
25,28449,13,0
40,83632,0,1
25,78011,18,1
57,23438,8,0
56,28546,5,0
50,133927,8,1
31,132264,20,1
51,41918,15,0
42,125046,10,1
40,45420,5,0
41,125910,15,1
38,122976,17,1
22,137229,2,0
40,84164,10,1
27,123952,16,1
20,139104,13,1
23,67173,16,1
43,148676,20,1
48,31529,6,0
37,52344,9,1
48,145064,3,1
21,80730,5,0
39,21584,17,0
46,42434,7,0
27,138965,3,0
29,148646,9,1
52,89676,13,1
50,141789,7,1
49,55917,12,1
32,53784,2,0
37,126774,10,1
52,88037,0,1
38,96264,18,1
57,146356,4,1
48,144967,11,1
41,116883,14,1
40,67454,7,1
56,118393,7,1
46,29441,10,0
50,117937,12,1
29,147847,1,1
