age,income,credit_score,loan_amount,experience_years,debt_to_income,employment_type,existing_loans,dependents,savings,property_owned,loan_approved
59,76182,464,687934,31,0.68,Salaried,1,2,720509,Yes,No
49,151873,523,915976,27,0.1,Self-Employed,1,0,632772,No,Yes
35,246953,423,235935,8,0.66,Self-Employed,4,4,499569,Yes,Yes
63,228503,643,332098,40,0.28,Contract,3,0,806981,No,Yes
28,188821,823,435468,6,0.66,Self-Employed,5,2,28811,Yes,Yes
41,222829,351,942729,19,0.47,Business,5,1,884483,No,No
59,73654,428,392355,31,0.63,Contract,0,3,179331,No,Yes
39,220646,434,899219,10,0.56,Business,3,3,767148,No,No
43,246639,426,706979,21,0.07,Contract,4,0,639426,No,Yes
31,73381,370,914853,6,0.09,Salaried,0,2,311515,No,Yes
31,76601,572,248812,8,0.39,Business,2,3,64448,Yes,Yes
44,164154,486,651518,23,0.13,Business,2,4,182894,Yes,Yes
56,163720,302,684410,34,0.35,Self-Employed,0,1,678584,No,Yes
60,18364,584,221414,36,0.67,Salaried,2,2,100581,Yes,No
44,183640,321,452589,15,0.24,Contract,3,0,547305,Yes,Yes
23,228718,465,323592,0,0.37,Contract,1,2,606970,Yes,Yes
42,220566,609,212282,18,0.3,Salaried,5,1,388635,Yes,Yes
22,223704,776,468626,2,0.46,Self-Employed,3,2,994866,Yes,Yes
44,25436,797,246119,21,0.18,Business,2,0,180352,No,Yes
64,104713,733,305984,35,0.22,Business,1,4,655605,No,Yes
50,175826,533,996532,28,0.61,Self-Employed,3,2,599571,No,No
58,78194,675,249372,37,0.58,Contract,5,0,719164,Yes,Yes
22,42544,545,879801,0,0.56,Self-Employed,2,4,759360,Yes,No
41,209252,602,245807,12,0.55,Business,3,3,125657,Yes,Yes
53,81295,704,954804,25,0.35,Salaried,2,2,855043,No,Yes
32,161710,320,323611,12,0.52,Contract,4,4,882574,Yes,Yes
42,214787,556,189271,16,0.3,Self-Employed,0,3,452001,No,Yes
64,87409,698,77095,40,0.12,Business,2,2,496189,No,Yes
45,232178,828,683003,21,0.31,Contract,5,2,146303,No,Yes
47,144839,350,279071,27,0.15,Self-Employed,3,1,269026,Yes,Yes
62,131759,746,351151,40,0.3,Salaried,5,2,781513,Yes,Yes
48,35157,569,835057,21,0.24,Contract,2,2,475166,Yes,No
36,194637,561,168562,13,0.44,Salaried,2,4,382025,Yes,Yes
35,219068,664,850049,15,0.29,Business,5,0,846246,Yes,Yes
64,83888,348,602592,40,0.51,Contract,3,1,736422,Yes,Yes
23,205167,817,146729,0,0.38,Salaried,3,2,130660,Yes,Yes
57,82947,417,236293,30,0.65,Self-Employed,1,4,505513,No,Yes
27,236194,752,782459,4,0.11,Salaried,5,4,732156,Yes,Yes
41,88880,696,121120,18,0.5,Business,5,0,423857,No,Yes
29,22507,326,648629,0,0.49,Self-Employed,2,3,519308,Yes,No
59,121134,671,927232,38,0.67,Salaried,4,2,576056,Yes,Yes
38,61988,396,124625,17,0.29,Contract,0,3,586972,Yes,Yes
24,116421,828,981143,0,0.25,Salaried,5,0,287816,No,Yes
45,165937,485,205757,18,0.16,Contract,2,4,691240,Yes,Yes
34,120591,514,570901,8,0.22,Contract,3,3,66245,Yes,Yes
29,147614,550,639704,3,0.38,Salaried,1,0,465211,Yes,Yes
46,45213,515,163792,24,0.59,Business,2,3,952048,No,No
22,205026,328,110356,1,0.23,Contract,4,4,156139,Yes,Yes
40,75450,401,323254,11,0.15,Business,3,2,228252,Yes,Yes
48,153549,422,673752,22,0.23,Contract,4,1,863045,No,Yes
27,80222,353,291549,4,0.12,Contract,4,4,806186,Yes,Yes
64,155605,582,726488,40,0.65,Salaried,5,3,842007,No,No
28,198467,416,679923,8,0.62,Contract,0,2,870643,Yes,Yes
55,172468,413,588972,32,0.25,Self-Employed,0,1,288005,Yes,Yes
34,30755,842,494371,10,0.21,Salaried,5,0,747450,Yes,Yes
37,149937,592,163102,13,0.64,Self-Employed,2,2,131207,Yes,Yes
56,160245,494,860851,36,0.05,Self-Employed,0,4,891349,No,Yes
60,207977,591,834002,38,0.44,Contract,2,3,547676,Yes,Yes
24,187169,560,706887,0,0.65,Business,2,1,582243,Yes,Yes
22,51371,506,982724,0,0.38,Salaried,5,2,828358,Yes,No
26,160326,348,466918,0,0.05,Business,3,1,583119,Yes,Yes
62,153090,305,420553,40,0.19,Salaried,3,1,233802,Yes,Yes
24,23192,678,832581,0,0.65,Self-Employed,1,2,244732,Yes,No
49,20015,693,602045,26,0.06,Contract,0,3,896426,Yes,Yes
38,126154,523,883096,10,0.31,Contract,5,0,435968,Yes,Yes
46,217988,322,259693,21,0.56,Contract,1,2,396546,Yes,Yes
64,46343,409,962658,40,0.59,Business,5,0,946978,Yes,No
54,87306,698,851637,33,0.36,Contract,4,1,702288,Yes,Yes
30,23829,471,825217,8,0.2,Contract,2,1,171603,No,No
56,52381,605,372351,35,0.44,Business,2,3,877649,No,Yes
34,129451,450,595282,5,0.22,Business,3,2,307195,Yes,Yes
51,230153,727,539697,25,0.22,Contract,4,2,502185,Yes,Yes
35,36263,766,695697,15,0.57,Contract,2,4,583728,Yes,Yes
28,202332,366,304457,0,0.15,Self-Employed,2,3,266235,No,Yes
34,192378,455,136170,13,0.05,Contract,4,2,203260,No,Yes
43,240283,505,158502,20,0.27,Business,4,1,420021,No,Yes
60,76418,454,80569,33,0.37,Salaried,2,3,366742,No,Yes
41,239970,808,932143,19,0.51,Contract,4,4,102892,Yes,Yes
36,18148,373,160702,8,0.56,Salaried,0,4,973315,No,No
65,150826,348,318770,39,0.48,Contract,4,1,441240,No,No
38,44745,766,675447,9,0.46,Contract,1,2,799900,No,No
44,90914,478,578252,22,0.48,Self-Employed,1,1,264701,Yes,Yes
46,204905,347,303695,24,0.23,Contract,2,4,613183,No,Yes
45,169212,371,424938,21,0.3,Business,2,3,219453,No,Yes
65,223979,412,330202,40,0.45,Contract,3,2,15183,No,No
61,78653,458,272374,32,0.09,Salaried,4,1,784847,No,Yes
49,241607,329,292706,25,0.24,Contract,1,2,684332,No,Yes
35,210593,396,216232,7,0.31,Business,3,3,238881,No,Yes
65,96315,550,197334,37,0.4,Contract,2,4,351661,Yes,Yes
21,49075,818,417326,0,0.37,Salaried,5,1,304601,Yes,Yes
45,179769,391,818568,19,0.52,Contract,5,4,840482,Yes,Yes
27,203616,412,543441,0,0.36,Self-Employed,0,1,680895,No,Yes
29,27795,558,799861,2,0.64,Contract,4,2,994840,No,No
44,82555,406,716244,16,0.3,Salaried,3,0,134628,Yes,Yes
21,201276,689,833821,0,0.39,Salaried,0,1,218384,No,Yes
64,218826,657,54433,37,0.05,Salaried,5,1,723463,No,Yes
28,213932,498,395891,7,0.25,Self-Employed,2,4,42985,Yes,Yes
44,121107,726,388371,15,0.61,Contract,1,0,192221,Yes,Yes
31,69529,777,867495,4,0.27,Salaried,3,0,953654,No,Yes
37,160744,802,869916,16,0.21,Self-Employed,3,0,994796,Yes,Yes
28,203310,419,923212,1,0.4,Self-Employed,2,0,834886,No,Yes
55,245650,608,664484,34,0.1,Salaried,2,3,388615,No,Yes
55,185022,837,342228,33,0.4,Business,1,2,644346,Yes,Yes
53,29009,774,688743,27,0.25,Contract,1,1,854083,No,Yes
25,196168,643,336946,0,0.3,Salaried,1,2,319055,Yes,Yes
62,168616,435,823405,40,0.56,Contract,0,2,389927,Yes,Yes
59,204800,576,288875,35,0.48,Self-Employed,0,2,167978,Yes,Yes
61,47381,832,631300,33,0.34,Contract,2,2,660985,Yes,Yes
48,145769,330,688898,22,0.43,Business,3,3,521346,Yes,Yes
27,174359,546,824252,6,0.55,Contract,0,4,261457,Yes,Yes
29,82610,710,463830,5,0.53,Salaried,2,3,314833,No,Yes
