Age,Income,Credit_Score,Experience_Years,Employment_Years,Existing_Loans,Loan_Amount,Debt_to_Income_Ratio,Loan_Approved
59,106110,697,38,18,3,1676360,1.317,1
49,109065,622,19,12,4,1935345,1.479,0
35,50491,678,5,0,1,1108520,1.83,0
63,177278,695,32,13,2,1424759,0.67,1
28,23728,676,0,0,2,310446,1.09,1
41,236343,563,11,6,1,1621075,0.572,0
59,236645,703,37,0,1,365675,0.129,1
39,201709,730,15,7,4,276392,0.114,0
43,133094,793,17,5,2,2485697,1.556,0
31,202179,749,8,8,3,2396149,0.988,1
31,95262,653,5,5,3,507293,0.444,0
44,97662,601,10,10,2,592249,0.505,1
56,181963,642,29,13,1,1333091,0.611,0
60,27962,643,39,18,5,639621,1.906,1
44,71977,645,10,4,2,1353864,1.567,1
23,161759,592,3,3,2,58291,0.03,0
42,109913,734,11,11,1,2896969,2.196,0
22,150259,650,0,0,0,975007,0.541,1
44,209771,654,10,10,1,841055,0.334,1
64,18169,627,36,5,1,222839,1.022,0
50,188969,741,28,14,2,481828,0.212,1
58,114350,743,24,1,1,790130,0.576,1
22,228897,781,0,0,4,2581948,0.94,1
41,68479,693,18,2,4,675229,0.822,1
53,81283,499,23,2,3,2097581,2.15,0
32,170671,673,12,12,3,2749394,1.342,0
42,203019,643,15,7,1,1951267,0.801,1
64,90102,653,37,16,1,2513157,2.324,0
45,88647,819,12,12,1,1212797,1.14,1
47,230530,758,16,6,1,2638040,0.954,1
62,145108,645,34,11,4,2714674,1.559,1
48,176057,804,24,13,1,92968,0.044,1
36,61638,667,7,7,2,2497330,3.376,0
35,114220,531,11,11,1,2773726,2.024,0
64,222863,581,31,18,0,1038060,0.388,0
23,93171,593,2,2,3,1667515,1.491,0
57,92662,688,30,8,3,2067122,1.859,0
27,247745,489,0,0,2,1551948,0.522,0
41,242522,652,14,14,3,2384256,0.819,1
29,113456,591,0,0,2,2807037,2.062,0
59,32901,683,25,19,1,1073226,2.718,0
