area_sqft,bedrooms,age_years,location_score,price
1460,3,5,7,9204821
1894,4,15,5,10428609
1730,3,28,5,8582897
1695,3,2,8,10807377
2238,1,19,7,10612024
2769,3,27,7,13560813
1066,5,26,10,7876957
1838,3,3,10,11525078
930,1,18,10,5712429
2082,5,25,10,12527554
2735,2,2,10,15398743
730,3,30,10,5220988
2285,1,18,9,11366132
1369,2,19,7,7643851
2991,2,6,10,16262224
2115,4,19,7,11778951
1815,5,8,7,11340551
1555,3,0,6,9627319
2924,1,7,9,15164836
1784,4,6,10,11898358
1059,5,17,5,7082735
621,4,7,8,6171737
2900,5,0,5,16497484
1347,5,10,9,9700907
1074,3,27,8,6512395
1682,5,24,9,10604309
2647,4,24,7,14084394
1575,5,17,8,10129310
2406,3,22,7,12589950
789,3,30,5,4204187
1162,4,29,5,6312523
2499,2,9,8,13291675
1867,2,2,8,10725976
2128,5,6,10,13699841
1246,1,27,9,6316163
2668,5,15,10,15701757
2814,4,25,9,14935866
1897,4,15,10,11473172
1200,4,24,7,7183847
2963,4,19,8,15888394
2661,4,27,5,13315206
841,3,16,9,5902751
2641,2,1,9,14477981
1963,4,0,5,11958210
2739,1,15,10,13701445
1990,1,29,9,9617996
2078,1,11,7,10373217
1375,1,4,8,7805808
634,3,4,5,5131093
2853,1,26,8,13311562
2555,4,22,9,14121866
2185,5,8,9,13623052
1621,1,8,5,8164735
1729,3,2,7,10385240
2100,3,18,6,11198496
1302,1,15,5,6537761
2179,5,15,6,12581413
761,1,2,10,5833540
801,3,19,6,5307442
2581,2,23,7,12561747
1595,4,21,10,9806377
2917,3,23,6,14201737
1415,1,0,10,8637556
1055,4,23,6,6494115
1875,1,19,7,9135128
1616,1,10,6,8236548
2943,2,16,6,14607132
937,4,7,6,6880915
1478,4,3,5,9627716
1676,2,5,5,9438438
1391,3,7,5,8118875
2864,1,19,7,13538734
1363,5,29,10,8660464
2835,1,2,9,14800929
979,1,15,6,5208264
1092,3,29,6,5814710
1780,1,24,7,8686882
2662,2,2,6,14025139
664,2,24,5,3365215
1967,4,28,9,11052686
1752,5,17,8,10858356
2627,1,13,6,12695361
2095,1,17,5,10135380
1762,3,1,8,11074612
2122,2,21,9,11293605
991,5,2,8,8198935
2298,4,15,5,12638556
1018,2,28,10,5826150
2936,4,8,10,16822976
978,3,3,8,7122293
2396,3,0,7,13921197
2878,1,3,8,14699781
2688,5,0,6,15737475
2782,4,13,6,14849196
800,2,20,10,5376507
2463,3,15,7,13139563
1379,1,19,5,6555333
1102,1,23,6,5281377
2351,4,7,10,14075819
1404,3,6,9,9129172
