Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Loan_Amount,Employment_Type,Education,Loan_Approved
59,108110,683,7,0,23.34,726215,Salaried,PhD,1
49,111065,795,22,2,48.67,224184,Salaried,Bachelor,1
35,52491,720,17,0,60.11,252120,Business,Bachelor,1
63,179278,725,7,1,34.47,572748,Salaried,Master,1
28,25728,669,10,4,12.35,178532,Self-Employed,Master,1
41,238343,512,12,5,9.67,139534,Salaried,Master,1
59,238645,650,1,2,56.99,192725,Self-Employed,High School,0
39,203709,678,20,2,49.57,412246,Business,Bachelor,1
43,135094,692,5,4,39.47,937094,Self-Employed,Bachelor,1
31,204179,628,1,1,15.29,31605,Salaried,Master,0
31,97262,574,13,6,68.51,800745,Salaried,High School,1
44,99662,737,25,0,8.85,211388,Salaried,High School,1
56,183963,656,6,6,65.88,918387,Business,Bachelor,0
60,29962,679,7,4,37.36,48427,Self-Employed,Bachelor,1
44,73977,550,26,2,25.71,700422,Salaried,Bachelor,1
23,163759,662,5,4,59.64,236349,Salaried,High School,1
42,111913,733,0,1,56.1,207866,Salaried,High School,0
22,152259,703,4,2,15.37,772315,Salaried,Bachelor,1
44,211771,649,9,1,68.48,949681,Business,Bachelor,1
64,20169,639,7,1,9.72,770321,Salaried,High School,1
50,190969,666,7,5,40.05,163511,Salaried,Master,0
58,116350,707,25,2,8.45,215051,Salaried,Master,1
22,230897,706,4,6,21.26,756229,Self-Employed,High School,1
41,70479,721,5,1,41.71,202612,Business,Bachelor,1
53,83283,741,17,6,5.61,567355,Salaried,High School,1
32,172671,688,9,1,11.59,526135,Business,Master,1
42,205019,809,24,1,52.36,586326,Contract,PhD,1
64,92102,729,9,1,8.48,897661,Salaried,PhD,1
45,90647,624,16,1,22.05,218960,Salaried,Master,0
47,232530,705,18,1,51.21,783321,Business,High School,1
62,147108,720,12,0,10.56,752066,Business,High School,1
48,178057,736,8,6,34.54,679262,Salaried,High School,0
36,63638,647,16,3,35.59,564655,Salaried,High School,0
35,116220,533,17,1,55.53,870106,Salaried,Master,0
64,224863,788,28,6,31.3,419023,Salaried,Bachelor,1
23,95171,672,4,2,46.89,165235,Salaried,Master,1
57,94662,522,24,4,44.14,863279,Self-Employed,Bachelor,0
27,249745,659,2,2,37.06,242188,Salaried,Master,0
41,244522,735,23,3,59.22,890822,Business,Bachelor,1
29,115456,599,11,5,39.29,111036,Salaried,Master,1
59,34901,598,13,0,5.21,246098,Self-Employed,High School,1
38,84303,661,19,6,38.45,451648,Self-Employed,Bachelor,1
24,76352,687,6,0,15.34,704352,Salaried,Bachelor,1
45,231072,636,27,3,36.06,901964,Salaried,Bachelor,1
34,191472,652,10,4,32.1,530537,Salaried,Bachelor,1
29,122817,740,11,1,29.49,397947,Salaried,Master,1
46,24636,681,18,3,47.87,982885,Salaried,Bachelor,0
22,95458,568,4,5,15.86,161613,Salaried,High School,1
40,230288,769,22,4,5.33,376594,Self-Employed,Bachelor,1
48,199607,666,11,4,67.57,498787,Self-Employed,High School,1
27,155774,611,9,6,10.74,626630,Salaried,Bachelor,0
64,37895,665,7,1,45.6,333270,Contract,Bachelor,1
