Age,Income,Credit_Score,Years_Employed,Existing_Loans,Loan_Approved
56,117916,328,12,2,1
46,61197,396,18,5,0
32,140733,309,10,4,1
60,86907,541,12,5,0
25,143876,531,20,3,1
38,79435,583,7,1,1
56,55631,499,7,3,0
36,144038,378,3,0,1
40,35103,472,14,3,0
28,79772,766,10,4,0
28,141108,715,10,4,0
41,29382,748,0,3,0
53,99291,386,16,4,1
57,116195,400,14,1,0
41,149828,307,19,5,0
20,35609,499,5,3,0
39,90683,804,14,1,0
19,139714,386,8,5,0
41,145330,342,13,5,0
47,86315,684,17,1,1
55,92834,734,16,2,0
19,141205,707,17,3,1
38,29153,782,4,5,0
50,91325,316,19,5,0
29,70318,447,19,4,0
39,146886,576,8,5,1
42,130033,531,10,1,1
44,91077,665,0,5,0
59,105474,527,17,2,1
45,148515,735,5,3,1
33,88319,698,1,3,1
32,140885,510,14,5,0
20,124777,690,20,0,1
54,32368,798,13,0,1
24,106751,839,4,1,1
38,42306,790,5,0,1
26,52219,741,5,1,0
56,75279,560,17,4,1
35,68028,649,13,1,1
21,119263,651,9,0,0
42,15126,819,13,5,0
31,67329,619,12,4,0
26,42632,437,2,0,0
43,124945,849,5,1,1
19,70176,667,7,2,0
37,149869,519,11,3,0
45,49560,636,12,0,1
24,91589,522,10,1,1
25,37116,659,11,4,0
52,147717,628,0,0,1
31,139085,762,16,0,1
34,132718,681,15,3,1
53,34256,468,10,1,1
57,115158,516,12,2,1
21,134719,677,17,4,1
19,83244,418,10,1,0
23,71264,489,11,4,1
59,72545,669,5,0,0
21,54224,448,8,3,0
46,112945,787,15,3,1
35,28224,673,3,5,0
43,55738,459,2,2,1
51,78731,650,15,3,1
27,23070,587,11,0,0
53,141161,587,10,2,1
31,23666,525,4,1,1
48,72761,822,17,3,1
32,51368,821,18,2,1
25,56914,572,5,0,1
31,142738,701,17,5,1
40,82526,482,5,4,0
57,34956,787,3,4,0
38,61240,423,11,0,0
33,136008,713,18,0,1
35,109270,471,1,4,1
41,19757,587,16,5,1
43,34097,734,10,2,0
42,118892,412,10,4,0
58,85480,421,20,0,1
46,61163,843,15,3,1
32,34816,521,1,1,0
18,67853,338,1,5,0
42,111731,796,7,5,1
24,77823,532,12,3,0
26,16759,829,9,3,0
41,107374,448,7,0,1
18,148554,696,3,4,0
25,39442,601,14,2,0
41,108501,659,0,5,0
28,17079,537,10,5,0
34,148789,535,6,3,1
25,74676,502,16,4,1
52,105397,555,19,5,0
52,87847,534,17,2,1
50,108607,644,11,3,0
22,79077,833,8,2,1
59,53258,765,4,4,1
56,134771,840,9,5,1
58,53000,512,3,1,0
45,41737,762,4,5,0
24,26485,735,9,4,0
26,53565,582,10,5,0
25,134614,762,20,5,1
29,80155,706,9,0,0
51,67487,387,7,5,1
50,144948,343,1,5,0
40,27342,760,7,2,0
41,55806,577,15,1,1
54,63770,720,4,2,0
52,93623,652,2,2,1
57,118177,814,11,3,1
39,146026,318,12,0,1
44,90629,322,12,2,1
52,135993,712,9,4,1
18,141944,329,3,4,1
52,120947,407,8,5,1
54,41399,666,1,3,1
31,143177,580,18,0,1
20,124575,427,0,0,0
18,125904,528,6,5,0
22,45678,410,16,4,0
43,91218,435,2,1,0
31,78230,661,19,3,1
56,89055,485,19,5,1
44,87258,428,20,3,1
26,54986,560,2,4,0
32,100595,814,2,4,0
32,116358,748,16,1,1
43,79929,403,6,1,1
59,88506,782,13,0,1
30,49911,523,16,3,0
49,102127,790,17,3,1
56,128453,772,12,4,1
49,99458,309,19,0,1
21,27175,704,19,5,0
47,134235,601,20,3,1
54,69771,530,17,0,1
40,142157,365,3,0,1
56,136300,411,0,4,0
32,101925,312,17,0,1
60,81358,692,0,1,0
46,62057,799,12,1,1
53,21150,533,19,2,0
30,19425,613,19,4,1
49,31032,311,9,5,0
24,17198,508,10,2,0
39,133865,313,8,1,1
45,38236,717,8,2,0
19,102955,736,4,4,1
59,118145,676,0,4,1
23,109914,319,16,0,0
45,117870,369,1,3,1
45,131243,510,12,0,1
37,29596,400,8,4,0
47,147351,431,3,1,0
28,126496,680,4,5,0
45,145273,431,10,1,0
42,135674,319,18,0,1
56,135307,835,20,5,1
50,34063,526,2,4,0
18,82642,453,11,1,1
44,105093,768,18,4,1
30,50954,704,18,5,0
58,42856,501,12,5,0
20,17573,337,6,1,0
56,50367,487,14,4,1
23,114608,356,6,2,0
25,75774,319,7,4,0
44,38752,572,4,5,0
26,70029,418,20,4,0
54,145282,815,13,0,1
50,66693,520,3,2,0
59,131739,825,9,3,1
41,70961,814,19,0,1
32,141678,635,14,3,1
49,89532,354,17,1,1
49,96994,799,19,3,1
41,71133,835,12,4,1
58,76268,461,7,3,0
29,46653,458,8,5,0
56,136829,487,15,0,1
19,143377,359,18,0,0
20,16622,618,15,3,0
54,63756,510,6,0,1
34,55809,705,13,5,1
19,31725,408,13,0,0
19,66226,375,3,3,0
45,96182,841,14,2,1
40,44402,613,2,2,0
54,19263,416,4,1,1
49,62924,318,0,0,1
50,89182,731,2,3,0
18,50737,649,14,0,1
36,116332,482,7,4,1
19,104563,412,3,5,0
43,143575,482,1,0,0
49,116371,780,9,0,1
23,53709,445,3,2,0
49,36172,412,2,5,0
21,26555,775,1,3,1
28,68276,602,16,0,0
34,72492,417,20,2,1
55,104599,460,19,1,0
41,26046,700,12,5,0
22,131021,497,4,2,0
51,19853,559,20,2,1
23,135900,346,8,2,0
39,74129,698,5,0,1
28,129130,377,4,0,1
33,136789,423,9,1,0
50,53890,374,7,4,0
26,81017,436,6,4,0
23,147596,699,6,4,1
33,115424,804,5,5,1
46,30048,799,20,5,0
20,69912,437,19,1,0
37,49008,349,2,5,0
53,146132,553,18,4,1
36,98559,725,14,4,0
43,70337,846,3,2,1
20,125616,601,11,5,0
36,28350,648,5,0,0
37,39354,348,18,0,0
49,60186,373,3,2,0
24,43145,560,14,2,0
58,101123,655,8,2,1
50,35581,559,4,0,0
57,103929,594,12,4,1
56,38051,612,17,2,1
35,66474,481,4,1,0
57,106748,663,15,2,1
18,140995,487,18,3,0
28,84626,842,13,2,1
45,21960,847,15,0,1
42,51408,707,14,5,1
40,109006,713,3,2,1
48,72134,641,6,5,0
47,147413,519,15,3,0
59,105327,462,20,1,1
52,146410,519,20,5,1
24,26344,569,7,4,0
33,147822,699,16,2,1
43,82957,481,15,3,0
19,120423,504,9,3,1
18,73053,527,9,5,0
29,92454,549,1,1,0
22,105600,740,8,0,0
54,137732,832,16,2,1
49,52641,495,10,3,0
26,44711,818,9,1,1
58,85342,369,16,4,1
52,121896,698,3,3,1
36,102833,502,15,1,1
33,71276,447,19,0,1
20,34541,771,14,0,1
37,109457,498,20,3,0
41,59813,725,4,3,0
50,39070,791,5,5,0
41,95559,441,16,2,0
28,56786,612,0,1,0
25,51062,464,18,3,1
53,66571,613,3,2,0
55,40510,320,16,5,1
57,34426,381,8,2,1
37,52265,430,1,3,0
