age,experience_years,salary,loan_amount,credit_score
59,34,54375,88102,595
49,27,34662,124460,583
35,12,41964,414778,627
28,5,72893,139930,767
41,19,81156,581089,622
59,30,450000,229208,831
39,17,33130,204697,798
43,21,44531,263945,596
31,8,78401,281915,670
31,5,26679,258124,763
44,21,28506,487477,788
56,28,38284,575830,605
60,40,32253,333821,656
44,17,44128,227804,597
23,0,52932,89081,610
42,21,86389,2500000,575
22,0,34435,269930,841
44,24,79340,567313,806
50,22,69078,264532,557
58,30,38296,569332,662
22,1,76293,366837,802
41,15,55445,339106,729
53,24,38245,78295,756
32,10,85403,63807,676
42,16,54124,485564,605
45,16,500000,207504,763
47,19,68919,288067,563
48,25,68225,535008,577
36,16,80769,444540,627
35,14,60247,567923,765
23,3,80636,216981,703
57,33,54222,69870,563
27,3,51211,253196,736
41,15,87752,298683,556
29,1,81573,284677,552
95,31,84101,76790,660
38,16,62220,498345,787
24,2,51646,537462,788
45,23,63649,589773,823
34,11,48049,136188,843
29,2,39069,579036,776
46,21,57580,80355,564
22,0,56843,501015,741
40,20,27849,456332,668
48,21,85595,206542,577
27,4,65158,223416,150
28,8,48289,355062,588
55,28,69690,551708,822
34,11,60257,111629,780
37,12,34823,378184,635
56,29,85160,542734,675
60,37,66975,340160,849
24,2,34540,598248,574
22,0,41364,263920,694
26,4,29611,292804,562
24,0,52663,3000000,761
49,28,76991,510857,574
38,17,82679,554492,617
46,25,63646,465916,616
54,29,55977,178148,782
30,8,54168,536261,658
56,28,74115,405540,695
34,11,50471,242714,660
51,31,47687,333876,777
35,12,85890,309747,660
28,8,25851,473570,583
34,10,43071,325987,660
43,20,84275,67640,813
60,33,31833,102528,785
41,14,36938,309214,632
36,10,60195,551108,591
38,16,51144,418501,650
44,24,29000,200159,555
46,26,30052,222502,729
45,23,60506,205576,831
49,24,600000,61023,775
35,9,79884,595735,778
21,0,63155,438043,838
45,20,65770,336103,699
27,2,57320,116203,826
29,7,63304,210775,747
44,19,71247,59337,619
21,0,28913,564723,661
28,7,42450,373673,553
44,20,49107,414167,644
31,11,45764,396809,701
37,17,68404,345451,686
28,4,45491,470571,796
55,33,63494,177016,792
55,32,28373,594447,580
100,31,37161,547562,589
25,5,56996,433934,778
59,39,52122,367428,585
48,24,83097,369187,772
27,2,59850,132844,555
29,7,52350,215421,769
28,0,52472,172402,624
32,8,53761,168012,553
54,27,50351,488661,683
53,33,48132,448929,667
43,19,74049,513556,643
44,22,40305,179473,611
57,37,34817,528007,743
55,32,36261,467009,752
60,36,25417,368714,575
42,16,82458,276156,722
47,27,66576,218964,849
55,33,45358,575303,682
21,0,28267,111813,667
55,27,42209,77712,824
57,28,49052,162816,761
34,9,63513,178778,774
23,0,51092,335977,569
21,0,36338,185230,662
25,0,25412,319114,689
46,19,32543,384618,596
34,13,65355,201456,550
59,34,58496,155570,639
47,21,85692,320846,691
29,8,48548,50404,587
35,6,52384,4000000,842
35,14,83019,285365,688
46,17,69425,392786,808
33,13,63756,100612,710
52,25,43888,250244,727
59,39,60735,54809,559
52,24,72295,213273,810
24,0,76938,194528,687
50,24,73816,556964,721
57,28,42506,499613,562
43,17,45463,88765,717
59,30,42955,366076,679
35,13,62841,596237,633
49,28,30104,251152,650
56,28,59911,349888,822
33,6,84031,142193,814
52,23,48190,86187,587
27,1,32357,555950,643
42,14,57479,188311,644
48,25,86476,558153,618
22,0,69811,239089,785
26,6,61208,486341,686
48,21,45150,362066,625
48,26,30644,175917,584
40,14,68286,349770,550
50,29,72320,531680,110
31,10,27914,331342,609
48,22,46352,589542,816
45,20,80069,94238,778
59,37,71352,51252,819
53,25,69912,535450,835
21,0,39397,365826,840
47,22,66555,371638,762
33,4,71959,377359,714
23,0,25728,56949,554
59,34,75517,367537,627
26,6,78644,505102,611
28,5,25698,387889,681
47,18,64954,526467,638
29,4,72280,406600,786
57,32,38923,365557,591
53,29,41779,354462,638
44,24,88932,300875,845
35,8,32400,513389,844
52,28,49466,120390,653
52,28,61939,303490,563
44,18,29360,297940,837
32,9,60270,415340,728
59,34,84163,483027,674
22,0,42101,558041,572
23,1,76934,367623,612
57,31,89895,266464,692
37,10,57307,560736,702
22,0,79098,367267,694
22,1,85921,273777,774
48,19,30486,55569,653
43,21,33335,479802,653
57,37,46364,308090,588
52,25,85484,95002,747
53,31,81418,548870,683
21,0,62259,261791,616
39,13,48576,252846,728
22,0,56667,74071,591
46,22,36130,222312,564
52,23,46972,307218,660
26,2,65419,264879,706
52,26,77788,413714,838
24,0,85566,476650,780
31,7,26167,381868,706
37,17,52192,467170,587
58,29,26062,107108,646
44,15,43540,530721,838
25,5,49244,161195,803
54,33,46545,86668,745
26,1,46689,335205,635
42,14,36174,391396,559
31,4,47925,180560,554
36,12,85638,416824,672
53,33,62497,197979,667
29,3,34348,199849,843
