Age,Annual_Income,Monthly_Spending,Credit_Score,Savings,Loan_Amount,Years_Employed,Purchases_Per_Year,Website_Visits_Per_Month,Spending_Score
56,58024.15,1970.82,625.54,52060.97,91948.8,27,24.5,20.51,40.46
69,68954.73,1508.16,675.02,20729.64,66125.02,45,17.17,10.22,33.53
46,53063.1,2406.7,628.18,25671.36,183781.07,21,13.85,15.01,60.19
32,67568.14,1000.0,674.28,31313.65,92672.66,5,14.77,15.28,45.41
60,44440.96,1455.99,553.7,20022.53,141014.11,35,8.96,19.39,44.3
25,57463.3,1636.83,636.46,45624.16,213511.23,0,12.39,20.9,70.3
38,65697.73,1358.81,740.63,30127.15,108025.17,13,22.25,20.6,28.15
56,63413.9,1138.39,738.38,755.2,64558.3,29,5.99,11.49,32.56
36,31101.63,1152.92,562.87,38674.91,49741.62,7,13.46,9.18,59.64
40,52097.89,2242.49,572.01,53502.28,35145.94,12,15.35,19.04,44.25
28,90194.33,1450.76,798.97,40995.06,292925.05,8,19.61,32.39,47.37
28,51135.97,1000.0,604.86,72257.4,86042.24,0,18.75,12.4,57.22
41,60284.54,2735.45,635.82,12459.96,149861.27,22,16.33,13.38,48.44
53,58438.4,1000.0,662.59,20434.93,68434.88,32,13.57,15.73,23.78
57,88228.32,2597.59,747.74,57901.98,97048.88,39,15.54,16.8,40.22
41,83226.63,2472.14,714.14,94554.11,365087.99,21,24.81,22.94,35.68
20,74535.56,1585.52,692.13,59917.7,15244.3,0,22.66,17.43,66.44
39,42481.64,1469.91,604.86,52236.86,83778.09,13,28.64,18.04,38.96
19,66465.29,2924.34,667.27,56707.19,73495.05,0,15.24,11.39,36.57
41,70222.95,1931.63,681.37,95468.24,61293.51,17,13.83,18.83,34.26
61,47425.11,1777.52,628.52,7143.05,132725.63,43,17.01,27.07,57.76
47,44330.69,1508.83,648.89,28282.72,60783.02,23,16.58,19.29,41.93
55,90690.25,2563.34,783.28,115193.56,264525.02,28,22.25,18.89,66.62
19,54585.54,1000.0,639.36,50437.72,80916.24,0,19.69,22.92,65.57
38,89069.58,3315.61,752.96,114428.17,202455.45,17,22.04,13.64,66.48
50,77947.69,1918.17,794.34,43596.53,277623.05,26,23.17,21.06,47.59
29,67341.78,1345.7,746.42,36797.98,93851.6,4,22.77,17.96,40.01
39,68145.57,3005.83,729.11,72413.27,6282.32,19,22.94,19.65,49.51
61,34792.45,1331.97,524.67,15626.67,56750.36,34,2.17,3.7,6.87
42,63721.95,2840.45,695.98,82610.58,111928.17,23,17.53,11.72,57.46
66,85506.37,1799.1,726.12,104394.45,212199.8,42,13.93,23.26,48.86
44,72264.11,2916.56,673.75,63639.97,331864.4,22,22.5,17.64,44.39
59,62778.06,2056.44,672.15,87506.6,34131.35,37,4.87,5.27,36.94
45,90814.87,4106.36,819.56,47836.35,288314.68,23,26.43,23.21,67.17
33,56669.27,2495.94,709.98,73980.41,45706.34,9,11.34,13.98,55.46
32,48848.0,2194.85,618.67,18857.62,35188.38,6,9.42,19.66,66.69
64,62768.97,2775.99,692.11,5441.73,145959.15,36,18.06,18.49,37.13
68,73796.41,1000.0,702.42,56213.22,279401.29,43,15.51,18.63,30.73
61,29079.71,1081.85,576.44,17824.78,29692.27,38,21.8,11.03,53.94
69,65127.64,1404.44,740.27,75003.31,82758.48,45,23.33,22.85,58.51
20,74586.21,2685.17,720.92,56966.48,180173.36,0,14.9,11.64,56.57
54,55146.45,2491.9,586.37,81781.16,188780.25,26,20.73,15.8,44.99
68,79925.37,1103.93,746.02,21235.6,263486.14,45,15.27,9.74,81.26
24,71541.36,2246.37,796.36,91542.06,107835.32,6,14.38,13.39,76.74
38,98544.9,3646.01,764.13,104764.49,316922.65,17,23.43,23.31,44.77
26,46489.15,1000.0,709.15,41959.28,74802.98,1,21.93,22.51,47.65
56,74952.78,1499.36,752.64,44675.49,145189.77,32,15.29,16.7,38.59
35,41688.17,1000.0,678.0,44969.69,33578.67,15,12.34,10.53,66.43
21,30923.4,1000.0,632.17,31386.77,29116.72,0,14.6,11.59,63.59
42,23360.44,1000.0,578.08,33161.98,55216.15,22,7.87,8.42,55.76
31,69689.83,2044.72,681.47,38421.18,176143.3,3,24.8,22.89,53.37
67,63316.46,1000.0,697.85,32418.09,68563.46,45,11.81,5.42,55.21
26,51377.08,2302.83,664.62,17670.18,180991.13,0,11.97,12.09,55.26
43,28076.92,1000.0,627.95,19823.27,51044.3,25,21.64,18.29,50.1
19,47573.04,1412.08,541.42,52560.93,138736.73,0,15.83,17.85,58.06
37,60073.67,1297.04,615.88,50874.7,114519.66,19,25.73,37.16,73.91
45,74277.05,2557.85,733.46,83323.94,160398.13,22,16.33,16.37,59.35
64,59702.36,1471.0,694.08,47447.8,70265.28,45,28.57,25.06,40.12
24,64537.09,2317.94,654.59,84945.29,259015.92,2,19.53,21.97,44.02
61,53229.62,1876.47,675.77,24001.87,162449.73,40,11.56,12.08,54.58
25,91486.04,1426.4,804.98,23634.51,306277.64,3,15.31,17.87,44.39
64,41671.51,1783.9,616.25,44475.15,94475.12,40,6.88,16.35,47.53
52,47413.71,1362.31,706.57,39836.43,142385.88,29,8.0,9.14,38.13
31,51137.55,1309.03,726.15,33894.66,1000.0,2,11.82,20.89,59.9
34,69768.68,3094.15,714.79,27427.15,180450.86,8,12.02,14.38,37.1
53,41300.52,1119.53,661.74,20352.13,106805.17,30,1.24,9.85,46.24
67,62442.93,2281.71,610.99,62052.21,59084.65,41,20.45,24.46,42.82
57,62968.38,2162.2,737.21,60565.09,153401.58,36,20.17,25.74,48.87
21,47501.56,1000.0,708.47,35320.78,9242.7,3,16.29,22.09,54.86
19,65939.63,3002.76,652.13,55192.86,218903.02,1,10.92,19.6,65.07
23,41859.35,1170.11,653.33,30621.51,203123.4,0,22.42,21.55,54.54
59,39892.67,1023.62,535.37,19787.14,83557.76,35,13.1,10.66,58.2
21,61792.9,2666.6,649.97,60958.04,70427.02,1,12.01,13.92,41.0
